ID,Title,Year,Summary,Genres,YouTube Trailer,Rating,Director,Writers,Cast
0,New York Doll,2005,"A recovering alcoholic and recently converted Mormon, Arthur ""Killer"" Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.",Documentary|Music,jwD04NsnLLg,7.9,Greg Whiteley,Arthur Kane,Sylvain Sylvain
1,Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,"After everyone is snowed in at the House of Mouse, Mickey suggests they throw their own Christmas party. Everyone is happy, except for Donald who just isn't in to the Christmas spirit. So Mickey shows a series of cartoons that show just what Christmas is all about. It features a star studded cast of Disney characters from everyone's favorite animated Disney movies.",Adventure|Animation|Comedy|Family|Fantasy,uCKwHHftrU4,6.8,Tony Craig,Thomas Hart,Carlos Alazraqui|Wayne Allwine
2,Mickey's House of Villains,2001,"The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy. It's all up to Mickey and his friends to overthrow evil and return the House of Mouse to normal--or as close to normal as it get's.",Animation|Comedy|Family|Fantasy|Horror,JA03ciYt-Ek,6.6,Jamie Mitchell,Thomas Hart,Tony Anselmo|Wayne Allwine
3,And Then I Go,2017,"In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, their fury simmers quietly until an idea for vengeance offers them a terrifying release. Based on the acclaimed novel ""Project X"" by Jim Shepard, this unflinching look at adolescence explores how the powerful bonds of childhood friendship and search for belonging can become a matter of life or death.",Drama,8CdIiD6-iF0,7.6,Vincent Grashaw,Brett Haley,Arman Darbo|Sawyer Barth
4,An Extremely Goofy Movie,2000,"It's a big time in Max's life. He's college bound with his friends and finally free of his embarrassing father as he strives to be a top contender for the X-Games. Unfortunately, Goofy loses his job and learns that he cannot get another job without a college degree. To his son's mortification, Goofy decides to join him in his campus to get that degree. Desperate to distract his father, Max talks him into joining the competing Gamma Fraternity team and introduces him to a wonderful librarian who shares his nostalgic love for 1970's pastimes. Unfortunately, things do not go according to plan as events put this father-son relationship to the test.",Animation|Comedy|Family|Sport,H8oSvldAGfg,6.4,Douglas McCarthy,Scott Spencer Gorden,Bill Farmer|Jason Marsden|Jeff Bennett
5,Peter Rabbit,2018,"Based on the books by Beatrix Potter: Peter Rabbit (James Corden;) his three sisters: Flopsy (Margot Robbie,) Mopsy (Elizabeth Debicki) and Cotton Tail (Daisy Ridley) and their cousin Benjamin (Colin Moody) enjoy their days harassing Mr McGregor in his vegetable garden. Until one day he dies and no one can stop them roaming across his house and lands for a full day or so. However, when one of Mr McGregor's relatives inherits the house and goes to check it out, he finds much more than he bargained for. What ensues, is a battle of wills between the new Mr McGregor and the rabbits. But when he starts to fall in love with Bea (Rose Byrne,) a real lover of all nature, his feelings towards them begin to change. But is it too late?",Adventure|Animation|Comedy|Family|Fantasy,7Pa_Weidt08,6.6,Will Gluck,Rob Lieber,Fayssal Bazzi|James Corden
6,The Foster Boy,2011,"The illegitimate orphan child, 12-year-old Max, is sold by the local minister for a basket of food to the Bösiger family, who own a mountain farm. Max' initial hope of finally finding a loving home is brutally shattered: The farmer and his wife treat Max like livestock, and their son Jacob humiliates and abuses him. Only the local teacher notices the child suffering on the farm.",Drama,E9Qv_XVJ-js,7.4,Markus Imboden,Plinio Bachmann,Katja Riemann|Maximilian Simonischek|Stefan Kurt
7,Forever My Girl,2018,After being gone for a decade a country star returns home to the love he left behind.,Drama|Music|Romance,3vqcMr1q5Uc,6.4,Bethany Ashton Wolf,Bethany Ashton Wolf,Abby Ryder Fortson|Alex Roe|Jessica Rothe
8,Tom Segura: Disgraceful,2018,Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.,Comedy|Documentary,kYYINJM3lPA,7.5,Jay Karas,Tom Segura,Tom Segura
9,Secrets in the Fall,2015,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!",Family,eMVw1pHVMAw,7.3,Brittany Goodwin,Brittany Goodwin,Hollie Shay|Kyle Kupecky|Vincent Seidle
